TermShort,SubjectArea,CatalogNumber,Section,CourseTitle,ClassStatus,MedianUnits,Instructor,MeetingDays,StartTime,EndTime,MedianRoomCapacity,MedianEnrollmentCapacity,MedianEnrollmentTotal,MedianWaitlistTotal,Session,AcademicGroup,AcademicOrganization,CourseID,ClassNumber,CourseComponent,CSNumber,Consent,InstructionMode,MedianContactHours,Median-K-Factor,Median-S-Factor,Instructor-Role,Median-Class-Mtg-Number,Building,Room,Median-Waitlist-Capacity
F 2020,CS,1260,1,Python for Beginners,Active,3,Maini Devika K,TuTh,8:30 AM,9:45 AM,,55,51,0,Regular,Science,Computer Science,14666,73366,Lecture,2,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,55
F 2020,CS,1280,1,Introduction to C++,Active,3,Nguyen Thanh V,MW,12:00 PM,12:50 PM,,34,23,0,Regular,Science,Computer Science,1872,73367,Lecture,2,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,34
F 2020,CS,1300,1,Discrete Structures,Active,3,Diaz Tony A,MWF,9:00 AM,9:50 AM,,62,57,0,Regular,Science,Computer Science,13418,73368,Lecture,2,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,62
F 2020,CS,1300,2,Discrete Structures,Active,3,Diaz Tony A,MWF,10:00 AM,10:50 AM,,62,62,0,Regular,Science,Computer Science,13418,73369,Lecture,2,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,62
F 2020,CS,1300,3,Discrete Structures,Active,3,Diaz Tony A,MWF,11:00 AM,11:50 AM,,62,62,0,Regular,Science,Computer Science,13418,73370,Lecture,2,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,62
F 2020,CS,1300,4,Discrete Structures,Active,3,Rezaei Damavandi Tannaz,TuTh,10:00 AM,11:15 AM,,67,68,0,Regular,Science,Computer Science,13418,73371,Lecture,2,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,67
F 2020,CS,1300,5,Discrete Structures,Active,3,Rezaei Damavandi Tannaz,TuTh,2:30 PM,3:45 PM,,60,63,1,Regular,Science,Computer Science,13418,73372,Lecture,2,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,60
F 2020,CS,1400,1,Intro Programming Prob Solving,Active,4,Santana Marin Ericsson,MWF,10:45 AM,11:50 AM,,37,37,0,Regular,Science,Computer Science,13420,73374,Lecture,2,No Special Consent Required,Fully Synchronous,4,1,0,PI,1,,,37
F 2020,CS,1400,2,Intro Programming Prob Solving,Active,4,Atanasio Dominick A,MW,3:00 PM,4:50 PM,,56,56,1,Regular,Science,Computer Science,13420,73375,Lecture,2,No Special Consent Required,Fully Synchronous,4,1,0,PI,1,,,56
F 2020,CS,1400,3,Intro Programming Prob Solving,Active,4,Atanasio Dominick A,MW,5:00 PM,6:50 PM,,40,40,0,Regular,Science,Computer Science,13420,73376,Lecture,2,No Special Consent Required,Fully Synchronous,4,1,0,PI,1,,,40
F 2020,CS,1400,4,Intro Programming Prob Solving,Active,4,Steichen Ben,TuTh,10:00 AM,11:50 AM,,55,55,4,Regular,Science,Computer Science,13420,73377,Lecture,2,No Special Consent Required,Fully Synchronous,4,1,0,PI,1,,,55
F 2020,CS,1400,5,Intro Programming Prob Solving,Active,4,Sang Fuh C,TuTh,1:00 PM,2:50 PM,,57,57,2,Regular,Science,Computer Science,13420,73378,Lecture,2,No Special Consent Required,Fully Synchronous,4,1,0,PI,1,,,57
F 2020,CS,2400,1,Data Struct Adv Programming,Active,4,Ji Hao,MWF,9:30 AM,10:35 AM,,35,35,0,Regular,Science,Computer Science,13421,73379,Lecture,2,No Special Consent Required,Fully Synchronous,4,1,0,PI,1,,,35
F 2020,CS,2400,2,Data Struct Adv Programming,Active,4,Korah John,MW,3:00 PM,4:50 PM,,35,29,0,Regular,Science,Computer Science,13421,73380,Lecture,2,No Special Consent Required,Fully Synchronous,4,1,0,PI,1,,,35
F 2020,CS,2400,3,Data Struct Adv Programming,Active,4,Ji Hao,TuTh,7:00 PM,8:50 PM,,35,34,0,Regular,Science,Computer Science,13421,73381,Lecture,2,No Special Consent Required,Fully Synchronous,4,1,0,PI,1,,,35
F 2020,CS,2450,1,Programming GUIs,Active,3,Maini Devika K,MWF,12:00 PM,12:50 PM,,35,31,0,Regular,Science,Computer Science,1885,73382,Lecture,2,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,35
F 2020,CS,2520,1,Python for Programmers,Active,3,Atanasio Dominick A,TuTh,5:30 PM,6:45 PM,,34,34,0,Regular,Science,Computer Science,14667,73383,Lecture,2,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,35
F 2020,CS,2560,1,C++ Programming,Active,3,Nguyen Thanh V,MW,2:30 PM,3:45 PM,,35,24,0,Regular,Science,Computer Science,1886,73384,Lecture,2,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,35
F 2020,CS,2600,1,Systems Programming,Active,3,Gershman David A,MW,5:30 PM,6:45 PM,,57,57,2,Regular,Science,Computer Science,12351,73386,Lecture,2,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,57
F 2020,CS,2600,2,Systems Programming,Active,3,Raheja Amar,TuTh,1:00 PM,2:15 PM,,39,39,0,Regular,Science,Computer Science,12351,73387,Lecture,2,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,39
F 2020,CS,2600,3,Systems Programming,Active,3,Atanasio Dominick A,TuTh,4:00 PM,5:15 PM,,36,36,0,Regular,Science,Computer Science,12351,75564,Lecture,2,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,36
F 2020,CS,2640,1,Comp Org and Assembly Prog,Active,3,Nguyen Thanh V,MWF,9:00 AM,9:50 AM,,35,29,0,Regular,Science,Computer Science,1887,73388,Lecture,2,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,35
F 2020,CS,2640,2,Comp Org and Assembly Prog,Active,3,Nguyen Thanh V,MW,4:00 PM,5:15 PM,,35,21,0,Regular,Science,Computer Science,1887,73389,Lecture,2,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,35
F 2020,CS,2640,3,Comp Org and Assembly Prog,Active,3,Johannsen David L,TuTh,4:00 PM,5:15 PM,,72,72,0,Regular,Science,Computer Science,1887,73390,Lecture,2,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,72
F 2020,CS,2990,2,Spec Topic for LD Students,Active,3,Johannsen David L,TuTh,2:30 PM,3:45 PM,,35,33,0,Regular,Science,Computer Science,1890,73392,Lecture,4,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,35
F 2020,CS,3010,1,Numerical Methods,Active,3,Raheja Lajpat Rai,MW,1:00 PM,2:15 PM,,35,34,0,Regular,Science,Computer Science,1891,73393,Lecture,2,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,35
F 2020,CS,3010,2,Numerical Methods,Active,3,Raheja Amar,TuTh,10:00 AM,11:15 AM,,35,36,0,Regular,Science,Computer Science,1891,73394,Lecture,2,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,35
F 2020,CS,3010,3,Numerical Methods,Active,3,Raheja Lajpat Rai,TuTh,1:00 PM,2:15 PM,,34,21,0,Regular,Science,Computer Science,1891,73395,Lecture,2,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,34
F 2020,CS,3110,1,Formal Languages and Automata,Active,3,Chen Tingting,MWF,9:00 AM,9:50 AM,,35,35,4,Regular,Science,Computer Science,1893,73396,Lecture,2,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,35
F 2020,CS,3110,2,Formal Languages and Automata,Active,3,Chen Tingting,MWF,10:00 AM,10:50 AM,,35,36,3,Regular,Science,Computer Science,1893,73397,Lecture,2,No Special Consent Required,Fully Synchronous,3,1,0,PI,1,,,35
